,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
193,16535.1,images/16535.1.jpg,Great Plains Culture Area,Kiowa,16536,Awl Game (Zohn Ahl) - mat and stone. Part of game with 16536.,Cotton | Pigment | Lithic,Awl Game = Zohn Ahl,Bronze Age,United States of America | Oklahoma,American
194,16536,images/16536.jpg,Great Plains Culture Area,Kiowa,16535,Zohn Ahl Game - 14 pieces total: 4 willow sticks dice (ahl); 8 wood arrow sticks and 2 wood and metal wire awls. Part of game with 16535.,Willow | Wood | Pigment | Metal,Awl Game = Zohn Ahl,Bronze Age,United States of America | Oklahoma,American
199,171B,images/171B.jpg,Northeast Culture Area,Woodland,12,"Fluted projectile point. Well-delineated basal ears which are rounded and ground down. Edges of blade are convex and slightly constricted above the ears. Basally ground between ears and up both edges for 19mm. Fluting on both faces by the removal of a single shallow channel flake (32 x 16mm and 28 x 12mm respectively) which are basally complimented, in effect, by basal retouching. Other flaking is broad, at right angles to the edge, and with pronouncedly concoidal scars. Few hinge fractures. Manufactured of fine-grained, translucent, grey chert.",Chert,Projectile Point,Neo-Babylonian,United States of America | New Jersey | Burlington County,American
234,18627,images/18627.jpg,Southwest Culture Area,White Mountain Apache,Two,"Cotton cloth, plant fiber cord with metal tinklers and tacks.",Rawhide | Eagle Feathers | Wool Flannel | Cotton | Leather | Buckskin | Sinew | Plant Fiber | Metal,Shield,Birnirk,Arizona | Fort Apache,American
236,19090,images/19090.jpg,Arctic Culture Area,Eskimo,Two,Carved walrus tusk,Walrus Tusk,Tusk,Birnirk,Peru | Pachacamac | Gravefield I,American
246,2001-14-21,images/2001-14-21.jpg,Central American,Guatemalan,1960's,Carved and painted wood mask or a human face (African).,Wood | Paint,Mask,Geometric Period,Guatemala,American
247,2001-14-27,images/2001-14-27.jpg,Central American,Guatemalan,1960's,Painted wooden mask of a boar's face. Mask is painted purple.,Wood | Paint | Metal,Mask,Geometric Period,Guatemala,American
248,2001-14-32,images/2001-14-32.jpg,Central American,Guatemalan,1960's,Painted wooden mask of a lion's face.,Wood | Paint | Metal,Mask,Geometric Period,Guatemala,American
249,2001-14-34,images/2001-14-34.jpg,Central American,Guatemalan,12/99,"Painted wooden mask of a bull's face with horns and a white mark on the face. Made by Guadalupe Sinay Lopos. Dance of the Tirator, December, 1999.",Wood | Paint | Metal,Mask,Geometric Period,Guatemala,American
250,2001-14-35,images/2001-14-35.jpg,Central American,Guatemalan,1960's,Painted wooden mask of a tiger's face.,Wood | Paint | Metal,Mask,Geometric Period,Guatemala,American
273,2004-23-36,images/2004-23-36.jpg,Southwest Culture Area,Hopi,1973,"Medium sized, circular bundle coiled plaque/tray. Front design radiating sun reflected on the back. Sun is colored natural with black, reddish brown, and yellow (faded). Small, finger-sized loop attached to back.",Yucca | Plant Fiber,Plaque,Late Minoan I,United States of America | Arizona | Flagstaff,American
349,2007-18-1,images/2007-18-1.jpg,Southwest Culture Area,Pueblo,2006,"Round cowhide shield with design of red, green, brown, yellow commercial paint and white natural pigment. Woodpecker and Flicker feathers attached to center with hide. Deerhide strap attached to back. Shield is a copy of museum object NA5595, made by Marlon Magdalena as part of REU project, 2006",Cowhide | Deer Hide | Paint | Pigment | Woodpecker Feather | Flicker Feather,Shield,Late Hellenistic Period | Early Imperial Roman Period,New Mexico | Jemez Pueblo,American
352,2009-10-25,images/2009-10-25.jpg,Southwest Culture Area,Pueblo,One,"Medium sized, circular bundle coiled plaque/tray. Design of star pattern (yellow with black outline) with natural beige center and background. Small, finger-sized thong loop attached to back.",Yucca | Plant Fiber,Plaque,Iron Age | Hallstatt I | Bylany Phase,New Mexico | Hopi Pueblo,American
353,2009-10-31,images/2009-10-31.jpg,Southwest Culture Area,Hopi,1973,"Wooden Katsina doll carved from one piece of wood. The kneeling figure is striped black and white. A hat sits atop painted brown hair and has Two striped horns projecting vertically, each with white fibers at the end. The face is painted white with black outlines over the eyes and mouth. The head is turned slightly to the right with the left eye winking and a smirking mouth. The figure clutches a chicken in its arms. This figure is a Hopi Clown (Koshare or Koyala). Made by Neil David, Sr. (Colton, H. 1959 #60, Wright, B., 1973 #239)",Wood | Acrylic Paint | Raffia,Katsina Clown,Late Minoan I,United States of America | Arizona,American
356,2013-11-1,images/2013-11-1.jpg,Central American,Chorotegan,300–800 CE,"Pot (""hot chocolate cup"")",Ceramic,Pot,Roman Period,Costa Rica | San Jose,American
357,2013-14-1,images/2013-14-1.jpg,Southwest Culture Area,Tewa (Culture),2012,"Ceramic Box - ""Miscommunication"" depicts a Corn Maiden Dancer, made by Jason Garcia, 2012. Native clay and native slip. In his own words ""The four sided box shows various Corn Maidens dressed in their traditional attire as they would be participating in dances held celebrating the Feast day of Saint Claire of Assisi at Santa Clara Pueblo on August 12. Saint Claire of Assisi is the patron saint of the blind, goldsmiths, embroiderers, and television. I use television antennas or satellite dishes in my work as a symbol/representation of St. Clara. As I created this piece, I felt that the male Corn dancer is the subject of the various Corn Maidens and he may be trying “to juggle” all of them as they are trying to get his attention. Another interpretation can be that the Corn Maidens may also be trying to warn each other of him. The four Corn Maidens also can represent four cardinal directions as well. All of the dancers are dressed in the manner of the Summer Moeity of which I am a member. The background is a continuous line of a silhouetted house/building/etc of Santa Clara Pueblo or Kha’Po Owinge’-meaning “Rose Path Village” in Tewa. Some of the buildings include the Santa Clara Pueblo Catholic Church and a kiva with a ladder emerging from the rooftop entrance. Various television antennas and direct satellite dishes are included as well.""",Ceramic,Corn Maiden Dancers,Bronze Age,New Mexico | Santa Clara Pueblo,American
358,2013-14-2,images/2013-14-2.jpg,Southwest Culture Area,Tewa (Culture),2012,"Ceramic Tile - Grand Theft Auto, made by Jason Garcias, 2012. Native clay and native slip.
In the artist's own words: ""The piece is inspired by the video game series Grand Theft Auto, the game is set in a fictional city named San Andreas. I appropriated the box cover art and made some minor and major changes to it. The vignettes reflect my upbringing and observations of Santa Clara Pueblo or Kha’Po Owinge’-“Rose Path village”, this is the Tewa name and refers to wild roses that grew along the water ways of the Santa Clara Creek and the Rio Grande River, when the Pueblo was settled in the 1300s after a major drought forced our ancestors to move from the Pajarito Plateau to seek closer water sources.
The back of the piece has various codes that are a specific succession of buttons that when entered can change different variables of the game play. The codes that are on the back are:
R2 X L1 L1 L2 L2 O STORMY
R2 X L1 L1 L2 L2 L2 X FOGGY
R2 X L1 L1 L2 L2 L2 ☐ CLOUDY
é X ç è R1 ç ê é Δ INFINITE HEALTH
The codes that entered reflect the ceremonial songs and prayers that are incantations for rain, prosperity , and long life.
Key to vignettes:
A-Puje Cliffs and Village is the Ancestral home of Santa Clara Pueblo. Puje= “where rabbits gather”, the Tewa name of our ancestral home. It refers to the ancestors who referred to themselves as P’u Towa or ‘rabbit people’. Puje is said to have been a major gathering place for many villages that were spread out among the Pajarito Plateau.
B-This vignette is directly lifted from the game cover art, in that it shows a main character of the game. The background shows a silhouette of Pueblo homes in the background and the street signs show the location of where I grew up. On the corner of Agoyo and Nava Alley. Agoyo meaning “star” and Nava meaning “field” both in the Tewa language.
C-The image of the girl is directly appropriated from the cover art.
D-The red polished carved pot represents the strong pottery traditions that have and continue to remain a part of Santa Clara Pueblo’s identity and culture. The water serpent carved is a symbol of water. This image was inspired by a pot created by the late Teresita Naranjo.
E-The table games/blackjack player represents the economic development efforts made by Santa Clara Pueblo. Currently the Pueblo, operates a casino in Espanola, the neighboring town, called the The Santa Claran Hotel and Casino. Casino and gaming enterprises offer financial security for some Tribes/Pueblos, but also offers many social problems as well.
F-The vignette shows the Jemez Mountains experiencing a catastrophic forest fire. In 1998/Oso Complex Fire and 2000/Cerro Grande Fire burned over 8,500 acres of the Santa Clara Canyon. In 2011, the Las Conchas burned 16,000+ acres of the Santa Clara Canyon which included the upper watershed of the Santa Clara Creek leading to major erosion and closure of the Santa Clara Canyon to visitation.
G-This vignette shows the Summer moiety kiva at Santa Clara Pueblo of which I belong to. The kiva is the ceremonial building in which many Pueblo ceremonies take place. This kiva was built in the mid-2000s and was part of the Pueblo’s efforts to build new kivas and renovate old kivas after the Cerro Grande Fire. This is a representation of how strong Pueblo cultural traditions are and how they will be continued into the 21st century for many generations to come.
F-The Corn Maiden holds a flip phone that is taking a photo or recording a video. This is a representation of technologies role in the continuance and destruction of a culture. Technology can be a tool to save and promote cultural ideals/languages/etc. But it can also be detrimental as well. The Corn Maiden is also a symbol in my work that represents Mother Earth and how we care for her in our actions and inactions.""",Ceramic,Grand Theft Auto,Bronze Age,New Mexico | Santa Clara Pueblo,American
368,2014-13-110.3,images/2014-13-110.3.jpg,Great Plains Culture Area,Indian,2,"2 pieces, both previously labelled L-222-110B",Wood | Gourd | Ivory,Lute Fragment,Early Dynastic,India,Asian
369,2014-13-110.4,images/2014-13-110.4.jpg,Great Plains Culture Area,Indian,8,8 pieces of Lute Fragment. Previously labelled L-222-110C - J,Wood | Gourd | Ivory,Lute Fragment,Babylonian,India,Asian
442,20159,images/20159.jpg,Northeast Culture Area,Iroquois (uncertain),-1836,"braided wool (?) sash with white glass beads worked in. Red, dark brown and gold",Wool (uncertain) | Glass,Sash,Historic Period,United States of America (uncertain) | Canada (uncertain),American
443,2019-11-2,images/2019-11-2.jpg,Central American,Teotihuacan (Culture),200-500 CE,"Greenstone. Inlaid shell eyes (3 pieces present) and 4 inlaid shell teeth. Standing female; wide shoulders, arms at sides, engraved hair, flat oblong ears; feet damaged.",Greenstone | Shell,Figurine,Moche Iv,Mexico (Central America) | Veracruz (Mexico),American
444,2020-15-1,images/2020-15-1.jpg,Northwest Coast Culture Area,Tlingit,2017,"The object is a Hoonah canoe paddle made and painted by Donald Starbard (Wak'eesh). It depicts a sea otter, once hunted out during the fur trade but now in abundance once again in the Hoonah homeland of Glacier Bay, on his back eating a clam/sun symbol on its stomach surrounded by kelp/seaweed.",Spruce Wood,Canoe Paddle,Roman Period,United States of America | Alaska | Chichagof Island | Hoonah,American
446,2021-4-3,images/2021-4-3.jpg,Southwest Culture Area,Hopi,1980 - 1989 CE,"Painted wooden figure of a Hopi ogre woman with yellow eyes, red ears,wide mouth showing teeth, and long brown hair in front of face. The figure wears a black cloth dress with green and red yarn decorations and a black manta shoulder cloth; both fabrics have red paint decoration. The figure wears tall white leather boots, black yarn adornments on the wrists. The proper right hand once held likely either a knife or a crook but this is now missing.",Wood | Paint | Fabric | Leather | Human Hair (uncertain),Kachina Doll,Late Minoan I,United States of America | Arizona,American
447,2021-4-56,images/2021-4-56.jpg,Southwest Culture Area,Hopi,c. 1965,Painted wooden ogre figure with yellow helmet style mask wears a belted fleecy sheep skin garment and moccasin boots. His medium-short black hair stands on top of his head. The figure holds a rope lasso with the proper right hand holding the loop and the proper left hand holding the tail. He wears a black and white striped collar and has ties around his legs below the knee on top of his boots.,Wood | Paint | Human Hair (uncertain) | Wool,Kachina Doll,Late Minoan I,United States of America | Arizona,American
448,2021-4-62,images/2021-4-62.jpg,Southwest Culture Area,Hopi,1970 - 1979 CE,"Wooden painted longhair figure wearing a blue mask, jet black hair and beard, and single standing feather at head features yellow and black body paint. He holds a turquoise gourd dance rattle in his proper right (PR) hand and dried plant stems in his proper left. He wears a painted canvas kilt, red belt, and embroidered sash at left side and a leather bandolier loosely tied around his torso. His hair is composed of a carved wooden component with real human hair glued on top. Three wooden feathers hang in front of his beard and one wooden feather is attached to the back of his head. He wears a fur fox pelt on the back and yarn ties on his wrists and below the knees. There are leather ankle decorations on the boots. ""Hopi"" is written in black ink on the bottom of the proper left foot along with ""#21"" in lighter brown ink. This kachina brings gentle rains and flowers.",Wood | Paint | Plant Fiber | Fabric | Leather | Animal Hair | Human Hair (uncertain),Kachina Doll,Late Minoan I,United States of America | Arizona,American
449,2021-4-74,images/2021-4-74.jpg,Southwest Culture Area,Hopi,1980 - 1989 CE,"The object is identified as a Hopi Koshare or Koyaala or Clown. The object is carved painted wood with a smiling face and raised and waving proper right (PR) hand. The figure has black hair of fur and a black and white striped horned hat with corn husk accents attached. Accessories include a shell and bead necklace, wrist ties , leather pouch around neck, black belt, and ankle ties. The Proper left hand holds a slice of watermelon. The base is signed ""E. Adams.""
Paint colors: white, black, red, turquoise, blue and green.",Wood | Paint | Human Hair (uncertain) | Plant Fiber | Fabric,Kachina Doll,Late Minoan I,United States of America | Arizona,American
450,2021-4-78,images/2021-4-78.jpg,Southwest Culture Area,Hopi,1970 - 1979 CE,"Painted wooden ogre figure with black head, bulging eyes, large mouth with prominent teeth,dark hair and feathers on back and top of head. Neck collar ruff of brown fur. The figure is dressed in a leather top, black loin cloth and white belt. The legs are dressed in a toule-like material. The boots are trimmed in pink painted leather with tassles. Its knees and wrists are adorned with turquoise yarn ties. The figure stands on a wooden base with proper right (PR) arm extended and pointing at viewer.",Wood | Paint | Feather | Yarn | Fabric | Human Hair (uncertain),Kachina Doll,Late Minoan I,United States of America | Arizona,American
452,2022-7-2.1,images/2022-7-2.1.jpg,Great Plains Culture Area,Indian,ca. 1986 CE,Core of clay in the crude shape of an elephant. Only one of the legs is still attached. This belongs to a set of objects that document the Dhokra brass-casting process. The first step entails creating a clay core which will serve as the inner support of the object. The artisan then wraps strips of wax around the core to create the piece.,Clay,Lost Wax Casting Material,20th Century,India,Asian
460,207,images/207.jpg,Northeast Culture Area,Paleolithic,11,weathered,Stone,Implement,Paleolithic,United States of America | New Jersey | Burlington County,American
463,20993,images/20993.jpg,Central American,Zapotec,200-600 CE,"Effigy Jar. Grey ware; reddish brown coating in depressions. Seated cross-legged, hands on knees. ""Water Vase"" on elaborate tasseled headdress; wears serpend armlets and bracelets, tasseld maxtli, mouth mask, ear disks, and elaborate pectoral hung by a cord.",Ceramic,Jar,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State),American
469,21390,images/21390.jpg,Great Plains Culture Area,Sioux (uncertain),the white half,Tanned buffalo hide with a cover of buckskin. Ornamented with pendant eagle feathers and deer tails and painted half yellow and half white. Painted design on the yellow half of a red sun surrounded by fourteen sets of parallel red lines and a red star with a yellow center. A yellow star outlined in red and with a red center is painted on the white half. An 8.5 inch bone whistle is attached with a thong.,Skin | Feather | Hair,Shield,Achaemenid,Plains (Culture Area),American
470,21475,images/21475.jpg,California Culture Area,Hupa,Two,No description available,Antler,Wampum Box,Birnirk,California (State) | Hoopa Valley Hupa,American
480,22122,images/22122.jpg,Great Plains Culture Area,Oglala,two,Ring and Pin Game.,Deer Bone | Wood | Glass,Game Pieces,Roman Period,United States of America | South Dakota | Eagle's Nest Camp | Pine Ridge Reservation,American
482,22157B,images/22157B.jpg,Northeast Culture Area,Winnebago,One,Eight bone dice. One side smooth and the opposite has black dots. One die has metal inserted and a flower pattern.,Bone,Dice,Iron Age | Hallstatt I | Bylany Phase,United States of America | Wisconsin | Black River,American
483,22159,images/22159.jpg,Northeast Culture Area,Winnebago,1870-1880,No description available,Wood,Lacrosse Ball,Cypro-Geometric IA,United States of America | Wisconsin,American
485,22160,images/22160.jpg,Northeast Culture Area,Winnebago,1870-1880,No description available,Wood,Lacrosse Stick,Cypro-Geometric IA,United States of America | Wisconsin,American
486,22161,images/22161.jpg,Northeast Culture Area,Sac & Fox,two,Bent wood forming a loop at one end. Buckskin strip forms netting in the loop. Broken in two places and repaired with buckskin.,Wood | Leather,Lacrosse Stick,Roman Period,Peru | Pachacamac | Gravefield I,American
496,22408,images/22408.jpg,Great Plains Culture Area,Arapaho,1901,Two sets of 5 bone dice reproduced from USNM original (152802).,Bone,Dice,Qing Dynasty | 20th Century,United States of America | Oklahoma,American
497,22419,images/22419.jpg,Northeast Culture Area,Ojibwa,1901,2 sets of 4 (4 + 4 = 8) stick dice - orignal USNM 204968,Wood,Stick Dice,Qing Dynasty | 20th Century,North America | United States of America | Minnesota | Mille Lac,American
498,22420,images/22420.jpg,Northeast Culture Area,Sac & Fox,1901,8 bone dice - reproductions of UPM 36571A-H,Bone | Metal,Dice,Qing Dynasty | 20th Century,United States of America | Iowa | Tama County | Tama (Iowa),American
499,22421,images/22421.jpg,Northeast Culture Area,Seneca | Iroquois,1901,Reproduction of 8 bone dice (#21072B).,Bone,Dice,Qing Dynasty | 20th Century,United States of America | New York | Cattaraugus County | Cattaraugus Reservation,American
500,22422,images/22422.jpg,Southwest Culture Area,Western Apache | White Mountain Apache,1901,"two sets of 3 dice, reproduced from USNM original (152696)",Hazel Wood,Stick Dice,Qing Dynasty | 20th Century,Arizona | Fort Apache,American
501,22426,images/22426.jpg,Southwest Culture Area,Navajo,1901,"set of 3 wood stick dice, reproduced from USNM original (9557)",Wood,Stick Dice,Qing Dynasty | 20th Century,New Mexico,American
502,22427,images/22427.jpg,Southwest Culture Area,Papago,1901,"two sets of 7 wood dice, reproduced from USNM original (74735)",Wood | Hide (uncertain),Dice,Qing Dynasty | 20th Century,Arizona | Pima County,American
503,22432,images/22432.jpg,Great Plains Culture Area,Kiowa,8),Reproduction of counting sticks (8) and awls for UPM 16536,Wood | Metal | Pigment,Game Counter,Bronze Age,United States of America | Oklahoma,American
504,22433,images/22433.jpg,California Culture Area,Pomo,12,"2 sets of 6 stick dice. 12 sticks, or carved paddles. Brown wood with diamond shaped burned decoration.",Wood,Stick Dice,Neo-Babylonian,California (State),American
505,22438,images/22438.jpg,Southwest Culture Area,Pima,1901,"two sets of 4 stick dice, reproduced from USNM origina (27843)",Wood,Stick Dice,Qing Dynasty | 20th Century,Arizona,American
506,22439,images/22439.jpg,Southwest Culture Area,Pima,1901,"stick dice for game ""Kins-Goot""; reproduced from USNM 211935",Wood,Stick Die,Qing Dynasty | 20th Century,Arizona,American
507,22445,images/22445.jpg,Great Plains Culture Area,Comanche | Shoshone,1901,"Two sets of 6 bone stick dice, reproduced from USNM original (152911a).",Bone,Stick Dice,Qing Dynasty | 20th Century,United States of America | Oklahoma | Kiowa Reservation,American
508,22448,images/22448.jpg,Great Basin Culture Area,Paiute,one half,"8 sticks, one half dyed red.",Wood,Stick Dice,Babylonian,Nevada | Pyramid Lake,American
509,22452,images/22452.jpg,Great Basin Culture Area,Uinta Ute,37110,"Set of 4 stick dice. Reproduced from 37109, 37110 or 37111?",Wood,Stick Dice,Birnirk,Utah | Whiterocks,American
510,22453,images/22453.jpg,Great Basin Culture Area,Uinta Ute,37110,"Set of 4 stick dice. Reproduced from 37109, 37110 or 37111?",Wood,Stick Dice,Birnirk,Utah | Whiterocks,American
512,22461,images/22461.jpg,Southwest Culture Area,Cocopa | Yuma,1901,"two sets of 4 stick dice, reproduced from USNM original (76165)",Wood,Stick Dice,Qing Dynasty | 20th Century,Mexico (Central America) | Sonora,American
513,22462,images/22462.jpg,Southwest Culture Area,Yuman,1901,two sets of 4 each,Wood,Game Piece,Qing Dynasty | 20th Century,Arizona | Mohave County,American
514,22465,images/22465.jpg,Southwest Culture Area,Pueblo | Zuni,1901,two sets of 3 each,Wood,Game Piece,Qing Dynasty | 20th Century,New Mexico,American
515,22466,images/22466.jpg,Southwest Culture Area,Pueblo | Zuni,1901,Reproduction of three wooden stick dice. Each die has one side incised with a zigzag line forming triangles. Half of the triangles are painted black and the other half are unpainted. One die is painted unlike the others.,Wood,Game Piece,Qing Dynasty | 20th Century,New Mexico,American
516,22467,images/22467.jpg,Southwest Culture Area,Zuni,1901,Reproduction of three wooden stick dice. Each die has one side incised with a zigzag line forming triangles. Half of the triangles are painted black and the other half are unpainted. One die has an additional triangle.,Wood,Stick Dice,Qing Dynasty | 20th Century,New Mexico,American
518,22479,images/22479.jpg,Great Plains Culture Area,Yankton | Sioux,1901,"Two sticks and 8 counters for hand game; reproduction of Penn Museum 37605 which was deaccession in 1908 to E.W. Lenders. The counters are all approximately 13 cm long, the sticks are both 4.8 cm long. One stick is red and has two notches carved into it, one on either side. The other is undyed and has two notches on each side (four in total). Two of the counters are also notched, one with two and the other with four notches. 22479 and ""copy"" are written on each piece.",Wood,Game Pieces,Qing Dynasty | 20th Century,United States of America | Montana | Fort Peck Reservation,American
519,22484,images/22484.jpg,California Culture Area,Hupa | Athapaskan,11,"11 counting sticks for game, reproduced from UPM 37206",Wood,Game Piece,Paleolithic,California (State) | Hoopa Valley Hupa | Humboldt County,American
520,22486,images/22486.jpg,Plateau Culture Area,Klamath | Lutuamian,1901,"Two large wooden sticks with burned designs. Two thin wooden sticks wrapped with hide. Five small wooden sticks, pointed at one end and notched and burned at the opposite end.",Wood | Skin,Game Sticks,Qing Dynasty | 20th Century,Oregon | Klamath Reservation,American
522,22491,images/22491.jpg,Southwest Culture Area,Hopi,1901,Gambling cups. 2 set of 4 each,Wood,Game Piece,Qing Dynasty | 20th Century,Arizona,American
523,22497,images/22497.jpg,Southwest Culture Area,Pueblo | Tanoan,1901,Gambling tubes,Wood,Game Piece,Qing Dynasty | 20th Century,New Mexico | Santa Clara Pueblo,American
524,22498A,images/22498A.jpg,Southwest Culture Area,Pueblo | Zuni,1901,Game Cups,Wood,Game Piece,Qing Dynasty | 20th Century,New Mexico | Zuni,American
525,22499,images/22499.jpg,Great Plains Culture Area,Cheyenne (culture),1901,Circular wood wrapped with a twisted cotton network in the center. Two buckskin ties on opposite sides. The end of the wood is carved in the shape of a bird's head.,Fiber | Wood,Hair Ornament,Qing Dynasty | 20th Century,United States of America | Oklahoma,American
531,22507,images/22507.jpg,Great Basin Culture Area,Ute,Two,Bone and pin game.,Bone | Hair | Wood | Fiber,Game,Birnirk,Utah | St. George,American
533,22509,images/22509.jpg,Great Plains Culture Area,Cheyenne (culture) | Algonkin,1901,Stick with one end curved and painted with a strip of green paint. Two animal carvings on one side.,Wood,Ball Stick,Qing Dynasty | 20th Century,United States of America | Oklahoma,American
534,22510,images/22510.jpg,Great Plains Culture Area,Kiowa,1901,Shinny stick from Ball Game.,Wood,Shinny Stick,Qing Dynasty | 20th Century,United States of America | Oklahoma,American
535,22518A,images/22518A.jpg,California Culture Area,Hupa | Athapaskan,1901,"Stick (a) with Billets (B), reproduction of 37208A/B",Wood,Shinny Stick (uncertain),Qing Dynasty | 20th Century,California (State) | Hupa Valley | Humboldt County,American
536,22518B,images/22518B.jpg,California Culture Area,Hupa | Athapaskan,1901,"Stick (a) with Billets(B); tied together with hide, reproduction of 37208A/B",Wood | Hide,Billet,Qing Dynasty | 20th Century,California (State) | Hupa Valley | Humboldt County,American
538,22522,images/22522.jpg,Southwest Culture Area,Pueblo | Zuni,2,2 pairs of kicking sticks; Kicked Stick Game,Wood,Kicking Sticks,Early Dynastic,New Mexico,American
539,22523,images/22523.jpg,Southwest Culture Area,Pueblo | Zuni,Three,For Kicked Stick Game,Wood,Kicking Sticks,Achaemenid,New Mexico,American
540,22524,images/22524.jpg,Plateau Culture Area,Klamath | Lutuamian,+ 6/7,Four-Stick Game - 2 sticks + 2 sticks + 6/7 counting sticks.,Wood | Bone | Hide,Game Sticks,Birnirk,Oregon | Klamath Agency,American
541,22529,images/22529.jpg,Great Basin Culture Area,Shoshone,1901,3 rectangular and 3 circular.,Bone,Dice,Qing Dynasty | 20th Century,Wyoming | Wind River Reservation,American
542,22530,images/22530.jpg,Great Basin Culture Area,Paiute,19695,"Walnut shell dice, reproduced from USNM original (19695).",Walnut Shell | Resin (material) | Bead,Dice,Babylonian,Nevada | Pyramid Lake,American
543,22534,images/22534.jpg,Southwest Culture Area,Pueblo | Keresan,1901,Biconical wooden top reproduction with traces of black and red paint. The upper end is rounded and has a long pin nailed through the center. The pin then exits through the bottom of the top as the point on which it spins. Grooved around the shoulder and incised ray design on the upper end.,Wood | Metal,Spinning Top,Qing Dynasty | 20th Century,New Mexico | Zia Pueblo,American
544,22535,images/22535.jpg,Northeast Culture Area,Ojibwa,1901,Counting sticks for moccasin game. 5 sticks - Copy written on each.,Wood,Counting Sticks,Qing Dynasty | 20th Century,North America | United States of America | Minnesota,American
545,22542,images/22542.jpg,Great Plains Culture Area,Oglala,two,Girl's throwing stick.,Wood,Throwing Stick,Roman Period,United States of America | South Dakota | Pine Ridge Reservation,American
546,22543,images/22543.jpg,Great Plains Culture Area,Oglala,two,Boy's throwing arrow. Broken in two pieces.,Wood | Feather | Sinew,Throwing Arrow,Roman Period,United States of America | South Dakota | Pine Ridge Reservation,American
548,22610,images/22610.jpg,Southwest Culture Area,Zuni,Ca. 1900,thlem-tum-a-nv-nai.,Wood | Buckskin | Cotton String,Bull Roarer,Historic,New Mexico | Zuni,American
552,2265,images/2265.jpg,Central American,Teotihuacan (Culture),200-500 CE,"Fragmentary head of statue Face has large eyes, protruding nose, and open mouth with two teeth bared, Side and back of head are carved, top of head flat and unworked. Represents the Fire God (Huehueteotl).",Volcanic Stone,Statue Fragment,Moche Iv,Mexico (Central America) | Cholula,American
